ID,店名,料理標籤,星級評分,營業時間,店家電話,地址,Google Map 網址,特約優惠,關鍵詞,介紹,座標,
320,金讚魯肉飯,中式,3.7,週一、三12:00-22:30，週二、四14:00-22:30，週五13:30-22:30，週六11:30-21:30，週日11:30-22:00,03-456-7523,實踐路253號,"https://www.google.com/maps/place/%E9%87%91%E8%AE%9A%E9%AD%AF%E8%82%89%E9%A3%AF/@24.958149,121.2391691,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e1b05d335:0x9bd8845cc68b59a8!8m2!3d24.958149!4d121.2391691!16s%2Fg%2F11css5gng3?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,滷肉飯、便當、湯、飯、午餐、晚餐,這家在地高人氣小吃店主打傳統台式風味的手切魯肉飯。招牌魯肉肥瘦比例完美，燉煮至肥而不膩、帶有黏唇的滿滿膠質，醬汁微甜鹹香、濕潤入味，大口咬下質地極其扎實。,"24.958348402043644, 121.23954460923616",
321,豐慶食堂,中式,4.8,"11:00-14:00, 17:00-20:00(週六公休)",無,實踐路280巷16號,"https://www.google.com/maps/place/%E8%B1%90%E6%85%B6%E9%A3%9F%E5%A0%82/@24.9582052,121.2394538,17z/data=!3m1!4b1!4m6!3m5!1s0x34682316d088aa5f:0xf71353508b05a96a!8m2!3d24.9582052!4d121.2394538!16s%2Fg%2F11p74pvwp4?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,湯、飯、麵、定食、午餐、晚餐,這家高人氣家庭式食堂主打真材實料、現點現做的傳統台式家常菜與簡餐。招牌主菜經細火慢燉，質地軟嫩入味、微甜鹹香，大口咬下濕潤又極具層次感，米飯也扎實Q彈。,"24.958336513517303, 121.24007607244847",
322,Baker Street 貝克街早午餐,早午餐,4.3,平日09:00-16:00，假日09:30-17:00(週二公休),0972-253-021,中北路165巷69號,"https://www.google.com/maps/place/Baker+Street+%E8%B2%9D%E5%85%8B%E8%A1%97%E6%97%A9%E5%8D%88%E9%A4%90/@24.9580915,121.2395007,17z/data=!3m1!4b1!4m6!3m5!1s0x34682214fd29152f:0xf742ba46c81fac45!8m2!3d24.9580915!4d121.2395007!16s%2Fg%2F11g6s7xr1m?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,義大利麵、拼盤、午餐,這家高人氣早午餐店主打滿滿英倫復古工業風與超大份量的澎湃排餐。招牌肉排經大火炙烤外焦內嫩、厚實多汁，微鹹鹹香，搭配起司大口咬下質地極其扎實。網評大讚其價格佛心、CP值爆表,"24.958096363470585, 121.24003714176592",
323,留一手 手工麵線,台式,4.6,06:00-14:00(假日公休),0928-811-325,新中北路248巷26號,"https://www.google.com/maps/place/%E7%95%99%E4%B8%80%E6%89%8B+%E6%89%8B%E5%B7%A5%E9%BA%B5%E7%B7%9A/@24.9585678,121.2397871,17z/data=!3m1!4b1!4m6!3m5!1s0x3468235c25c14945:0x9bf65b24c72139ec!8m2!3d24.9585678!4d121.2397871!16s%2Fg%2F11r8m1k6_3?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,麵線、早餐、午餐,這家在地高人氣小吃店主打每日新鮮現熬、純手工製作的古早味麵線。招牌麵線質地滑順Q彈，搭配大腸與蚵仔肉質扎實，大口咬下滿是微甜鹹香、鮮甜濃郁的柴魚湯頭香氣。,"24.95879638202578, 121.24016260923617",
324,火少爺炒飯專賣店,中式,3.7,11:00-20:00,03-436-2681,實踐路268號,"https://www.google.com/maps/place/%E7%81%AB%E5%B0%91%E7%88%BA%E7%82%92%E9%A3%AF%E5%B0%88%E8%B3%A3%E5%BA%97/@24.9580542,121.2393834,17z/data=!3m1!4b1!4m6!3m5!1s0x34682357e0c1370f:0x4e9a15ea0a48dd48!8m2!3d24.9580542!4d121.2393834!16s%2Fg%2F11lyz0l5q9?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,炒飯、午餐、晚餐,這家高人氣主食店主打大火翻炒、口味極其豐富的職人炒飯。招牌炒飯炒得粒粒分明、油潤多汁，微鹹鹹香中帶有迷人鑊氣，肉品與雞蛋質地扎實。網評大讚其炒功了得、份量誠意十足,"24.958273056052814, 121.2396730785536",
325,鮮茶道中原實踐店,手搖飲,4.4,11:00-21:30(週日公休),03-416-1686,實踐路260號,"https://www.google.com/maps/place/%E9%AE%AE%E8%8C%B6%E9%81%93%E4%B8%AD%E5%8E%9F%E5%AF%A6%E8%B8%90%E5%BA%97/@24.9579832,121.23928,17z/data=!3m1!4b1!4m6!3m5!1s0x34682334082f5641:0xec6be7762a2a2603!8m2!3d24.9579832!4d121.23928!16s%2Fg%2F11j69j0m1w?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,手搖飲、飲料,這家高人氣手搖飲主打引進杯杯現粹技術與嚴選產地茶包。招牌純茶質地滑順、入口回甘，鮮奶茶則融合了濃郁奶香與自然茶香，微甜不澀且層次感十足。網評大讚其茶湯新鮮不苦、出餐迅速,"24.958114513754104, 121.23983789943654",
326,波波雞炸物 BOBO CHICKEN,炸物,5,週五、六17:30-02:00，其他17:30-00:30,0989-934-344,實踐路61號,"https://www.google.com/maps/place/%E6%B3%A2%E6%B3%A2%E9%9B%9E%E7%82%B8%E7%89%A9+BOBO+CHICKEN/@24.954481,121.241706,17z/data=!3m1!4b1!4m6!3m5!1s0x346823d12cae2b21:0x9b3594f0789cd566!8m2!3d24.954481!4d121.241706!16s%2Fg%2F11z68xtjmf?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D",非特約商店,雞排、鹽酥雞、炸物、晚餐、宵夜、中原夜市,這家高人氣炸物店主打現點現炸、獨家調味的創意美式與台式炸雞。招牌雞肉經大火油炸外酥內嫩、油潤多汁，微鹹鹹香，大口咬下肉質極其扎實。網評大讚其外皮酥脆、肉質不乾柴,"24.954622044705424, 121.24210296690677",
327,福州乾拌麵,中式,4.4,11:30-20:30,0922-366-329,實踐路235號,"https://www.google.com/maps/place/%E7%A6%8F%E5%B7%9E%E4%B9%BE%E6%8B%8C%E9%BA%B5/@24.9579215,121.2391456,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e10a4403f:0xfa73dfc706a60dcf!8m2!3d24.9579215!4d121.2391456!16s%2Fg%2F11b7c0xmy1?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,乾拌麵、麵、湯、小菜,這家高人氣老字號麵店主打經典的福州古早味與自行調味的傻瓜乾拌麵。麵條質地Q彈滑順，依個人喜好淋上烏醋與特製辣油，大口咬下微酸微辣、濕潤入味。網評大讚其價格佛心、高CP值,"24.958072267707248, 121.2396605840953",
328,AL.CO.餐酒館 (傲客 佳人),餐酒館,4.7,20:00-02:00(週二公休),0966-269-256,實踐路256號2樓,"https://www.google.com/maps/place/AL.CO.%E9%A4%90%E9%85%92%E9%A4%A8+(%E5%82%B2%E5%AE%A2+%E4%BD%B3%E4%BA%BA)/@24.9578893,121.2392699,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e22637db7:0x616a616b1fc78aa3!8m2!3d24.9578893!4d121.2392699!16s%2Fg%2F12hqy4n_k?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,飲料、酒、餐酒館,這家高人氣餐酒館主打極具質感的時尚裝潢與慵懶放鬆的微醺氛圍。招牌排餐與私房料理經大火炙烤外焦內嫩、油潤多汁，微鹹鹹香且濕潤入味，口感扎實。網評大讚其調酒精緻、氣氛絕佳,"24.95803034080086, 121.23977415525995",
329,焦糖楓串燒連鎖第一品牌/中原直營店(內用.外帶),中東烤肉,4.4,11:30-01:00,0976-156-185,實踐路134號,"https://www.google.com/maps/place/%E7%84%A6%E7%B3%96%E6%A5%93%E4%B8%B2%E7%87%92%E9%80%A3%E9%8E%96%E7%AC%AC%E4%B8%80%E5%93%81%E7%89%8C%2F%E4%B8%AD%E5%8E%9F%E7%9B%B4%E7%87%9F%E5%BA%97(%E5%85%A7%E7%94%A8.%E5%A4%96%E5%B8%B6)/@24.9563121,121.2400399,17z/data=!3m1!4b1!4m6!3m5!1s0x3468239c4b49468d:0x2dc284941f29f848!8m2!3d24.9563121!4d121.2400399!16s%2Fg%2F11kspqrd_m?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,烤物、烤串、午餐、晚餐、宵夜,這家高人氣串燒店主打現烤不油炸的健康理念與文青風內用空間。招牌串燒撒上漢方特調的焦糖粉，高溫烤至外焦內嫩、多汁微甜鹹香，口感層次極其扎實。網評大讚其乾淨衛生、特製風味百吃不厭,"24.956472596747876, 121.24059779943656",
330,新洲海南雞飯 （中壢中原店）,馬來西亞餐廳,4.8,"11:00-14:30, 17:00-20:30",03-437-0115,實踐路248號,"https://www.google.com/maps/place/%E6%96%B0%E6%B4%B2%E6%B5%B7%E5%8D%97%E9%9B%9E%E9%A3%AF+%EF%BC%88%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%8E%9F%E5%BA%97%EF%BC%89/@24.9577499,121.2393212,17z/data=!3m1!4b1!4m6!3m5!1s0x346823619fbf7d9f:0x4de6d52d4de46224!8m2!3d24.9577499!4d121.2393212!16s%2Fg%2F11yb79ps37?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,海南雞飯、飯、馬來西亞料理、午餐、晚餐,這家高人氣排隊名店主打道地的星馬風味與鮮美無骨的海南雞飯。招牌雞肉質地鮮嫩多汁、滑順Q彈，搭配吸飽雞油與高湯、微甜鹹香的泰國香米飯，大口吃下濕潤入味。,"24.957842306164842, 121.23973962457741",
331,松川烤肉飯,中式,4.6,"11:00-13:30, 17:00-20:00(週三公休)",03-438-7666,實踐路233號,"https://www.google.com/maps/place/%E6%9D%BE%E5%B7%9D%E7%83%A4%E8%82%89%E9%A3%AF/@24.9577549,121.2390438,17z/data=!3m1!4b1!4m6!3m5!1s0x346823002993fa51:0x84bf8b7045816870!8m2!3d24.9577549!4d121.2390438!16s%2Fg%2F11lnwtb3bv?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,便當、烤肉飯、午餐、晚餐,主打真材實料、出餐迅速的人氣台式烤肉飯專賣店。熱騰騰的現烤燒肉與Q彈米飯質地扎實，伴隨特製烤肉醬與爆香配菜交織的豐厚香氣，層次感十足，非常開胃。,"24.957905667911277, 121.2395695129306",
332,京の樁日式拉麵,日式,4.9,"11:30-14:30, 17:00-20:30(週六公休)",無,實踐路242號,"https://www.google.com/maps/place/%E4%BA%AC%E3%81%AE%E6%A8%81%E6%97%A5%E5%BC%8F%E6%8B%89%E9%BA%B5/@24.9576777,121.2392871,17z/data=!3m1!4b1!4m6!3m5!1s0x346823006c7bc151:0x689a27a49d8a3d47!8m2!3d24.9576777!4d121.2392871!16s%2Fg%2F11xzp_8p7r?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,日式、拉麵、午餐、晚餐,這家高人氣拉麵店主打匠心熬製的道地日式湯頭與高CP值平價拉麵。招牌湯底醇厚濃郁、微鹹鹹香，搭配大片軟嫩叉燒與Q彈滑順的麵條，大口吸入濕潤入味、質地扎實。,"24.957906283678522, 121.23974843991869",
333,鹿橙冷飲專賣店-中原旗艦店,手搖飲、中式,4,09:30-22:00,無,實踐路231號,"https://www.google.com/maps/place/%E9%B9%BF%E6%A9%99%E5%86%B7%E9%A3%B2%E5%B0%88%E8%B3%A3%E5%BA%97-%E4%B8%AD%E5%8E%9F%E6%97%97%E8%89%A6%E5%BA%97/@24.9576249,121.2390323,17z/data=!3m2!4b1!5s0x3468223e3b799267:0x63355cfd26c227aa!4m6!3m5!1s0x346823001591a1db:0x1a888a71894b6534!8m2!3d24.9576249!4d121.2390323!16s%2Fg%2F11z9r20y82?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,飲料、手搖飲料、麵、飯、水餃、午餐、晚餐,這家高人氣手搖飲主打嚴選優質茶葉與新鮮現調的各式冷飲。招牌純茶質地滑順、入口回甘，特調系列則完美融合了水果清甜與自然茶香，微甜不澀且層次感十足。,"24.957843756815983, 121.23950436875401",
334,米老鼠牛排館國際企業有限公司,牛排,3.4,平日11:00-20:30，假日11:00-21:00,03-466-1992,實踐路227號,"https://www.google.com/maps/place/%E7%B1%B3%E8%80%81%E9%BC%A0%E7%89%9B%E6%8E%92%E9%A4%A8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@24.9574946,121.2391198,17z/data=!3m2!4b1!5s0x3468223e3b799267:0x63355cfd26c227aa!4m6!3m5!1s0x3468223e065302c9:0xb66000c76f9ce13!8m2!3d24.9574946!4d121.2391198!16s%2Fg%2F12vs7y636?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,牛排、午餐、晚餐,主打真材實料、價格親民的人氣台式鐵板牛排專賣店。熱騰騰的現烤排餐與Q彈鐵板麵質地扎實，伴隨特製醬汁與高溫鐵板爆香交織的豐厚香氣，層次感十足，微甜微鹹極其開胃。,"24.957713457047632, 121.23948458040083",
335,澗水瀾餐酒館,餐酒館,4.5,18:00-04:00,03-438-1398,實踐路225-28號,"https://www.google.com/maps/place/%E6%BE%97%E6%B0%B4%E7%80%BE%E9%A4%90%E9%85%92%E9%A4%A8/@24.9574262,121.2389188,17z/data=!3m2!4b1!5s0x3468223e3b799267:0x63355cfd26c227aa!4m6!3m5!1s0x3468223e3c73fb81:0xb408875377d0d34b!8m2!3d24.9574262!4d121.2389188!16s%2Fg%2F11g8p0qpq1?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,義式、義大利麵、燉飯、酒、餐酒館、飲料、晚餐,主打真材實料、品項精緻的人氣深夜餐酒館。熱騰騰的現做異國料理食材質地扎實，吸飽了特製調味醬汁，大口咬下滿是純粹肉香與豐富辛香料交織的豐厚香氣，層次感十足。,"24.95754778736427, 121.23934795341272",
336,口味kǒuwèi創意料理,中式,4.9,"11:30-14:00, 17:00-21:00(週四公休)",03-468-1258,實踐路225-27號,"https://www.google.com/maps/place/%E5%8F%A3%E5%91%B3k%C7%92uw%C3%A8i%E5%89%B5%E6%84%8F%E6%96%99%E7%90%86/@24.9573831,121.2388418,17z/data=!3m2!4b1!5s0x3468223e3b799267:0x63355cfd26c227aa!4m6!3m5!1s0x34682350ea159e0b:0xbb9892fb4c8e2614!8m2!3d24.9573831!4d121.2388418!16s%2Fg%2F11tfdv6n1b?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,炒菜、飯、午餐、晚餐,主打真材實料、現點現做的創意手作料理專賣店。熱騰騰的精緻餐點質地扎實，吸飽了特製獨門醬汁，大口咬下滿是純粹肉香與豐富辛香料交織的豐厚香氣,"24.95758250328421, 121.23892763068255",
337,onon_cake 二溫菓子 可麗露專賣店,甜品,4.6,12:30-19:30(假日公休),0970-282-609,實踐路225-21號,"https://www.google.com/maps/place/onon_cake+%E4%BA%8C%E6%BA%AB%E8%8F%93%E5%AD%90+%E5%8F%AF%E9%BA%97%E9%9C%B2%E5%B0%88%E8%B3%A3%E5%BA%97/@24.9573643,121.2385392,17z/data=!3m1!4b1!4m6!3m5!1s0x3468237c238cbb7d:0x9ac23f0642f396dd!8m2!3d24.9573643!4d121.2385392!16s%2Fg%2F11vjfjl26w?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,可麗露、蛋糕、甜點,這家高人氣高顏值甜點店主打每日限量、口味豐富的職人手作可麗露。招牌可麗露外皮焦香酥脆、內餡濕潤Q彈，微甜不膩且伴隨濃郁奶香,"24.957544249346945, 121.23889325156551",
338,原選製菓The Original Chosen Pastry,甜品,4.9,09:00-18:00(假日公休),0989-839-547,實踐路225-10號,"https://www.google.com/maps/place/%E5%8E%9F%E9%81%B8%E8%A3%BD%E8%8F%93The+Original+Chosen+Pastry/@24.9571396,121.2384057,17z/data=!3m1!4b1!4m6!3m5!1s0x3468234b83413121:0x2a3ad06ee67bd6a0!8m2!3d24.9571396!4d121.2384057!16s%2Fg%2F11rwq43jzj?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,蛋糕、甜點,主打真材實料、精緻手作的人氣法式甜點專賣店。熱銷的午茶點心質地扎實，大口咬下滿是純粹乳香與豐富食材交織的豐厚香氣，層次感十足，非常療癒。,"24.957309822672624, 121.23883485341274",
339,叔叔PBQ,韓式,4.1,"12:00-14:00, 17:00-22:00(週一公休)",03-456-7881,實踐路225-7號,"https://www.google.com/maps/place/%E5%8F%94%E5%8F%94PBQ/@24.9571759,121.2384921,17z/data=!3m2!4b1!5s0x3468223e3c717de1:0x7c82b2cded1344c8!4m6!3m5!1s0x3468237dae125cd3:0x7457ff84de8a6182!8m2!3d24.9571759!4d121.2384921!16s%2Fg%2F11fvmks0mq?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,韓式、辣炒年糕、鍋物、韓式烤肉、韓式炸雞、午餐、晚餐,這家高人氣串燒店主打大火現烤、充滿濃厚醬香的傳統台式燒烤。招牌肉串經高溫炙烤外焦內嫩、油潤多汁，微甜鹹香的獨門醬汁濕潤入味,"24.957375303619795, 121.23893198224805",
340,小辛雞-蒜味鹽酥雞,炸物,4.9,16:00-00:00,0960-554-191,實踐路225-1號,"https://www.google.com/maps/place/%E5%B0%8F%E8%BE%9B%E9%9B%9E-%E8%92%9C%E5%91%B3%E9%B9%BD%E9%85%A5%E9%9B%9E/@24.9572289,121.2387739,17z/data=!3m2!4b1!5s0x3468223e3b799267:0x63355cfd26c227aa!4m6!3m5!1s0x346823430e0675b5:0xab51164dae6bd5a7!8m2!3d24.9572289!4d121.2387739!16s%2Fg%2F11yw_12k3c?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,鹽酥雞、炸物、晚餐、宵夜,主打真材實料、品項豐富的人氣濃郁蒜味鹽酥雞專賣店。熱騰騰的現炸雞肉質地濕潤扎實，伴隨特製椒鹽與大爆香蒜片交織的豐厚香氣,"24.957428303533955, 121.23887045951787",
341,小春便當,台式便當,5,11:00-20:00(假日公休),無,實踐路225-5號,"https://www.google.com/maps/place/%E5%B0%8F%E6%98%A5%E4%BE%BF%E7%95%B6/@24.9571138,121.2385488,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230031dc03cb:0xc2fae6426b556716!8m2!3d24.9571138!4d121.2385488!16s%2Fg%2F11ykktgft3?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,便當、午餐、晚餐,這家高人氣排隊便當店主打主菜現點現做與高CP值的澎湃配菜。招牌主食外焦內嫩、厚實多汁，搭配微甜鹹香的獨門醬汁淋飯，大口咬下肉質極其扎實。,"24.95731320372039, 121.2386668171885",
342,泰楊 泰式料理,泰式,4.4,"平日11:00-14:00, 17:00-21:00，假日11:00-14:30, 17:00-21:30(週一公休)",03-283-0502,實踐路219號,"https://www.google.com/maps/place/%E6%B3%B0%E6%A5%8A+%E6%B3%B0%E5%BC%8F%E6%96%99%E7%90%86/@24.9571712,121.2391568,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230c7f3b2ef7:0x1e393a9945bab213!8m2!3d24.9571712!4d121.2391568!16s%2Fg%2F11rz2yws53?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,泰式、合菜、炒菜、午餐、晚餐,主打真材實料、品項豐富的人氣台式泰式料理專賣店。熱騰騰的現炒料理食材質地扎實，吸飽了特製泰式醬汁，大口咬下滿是純粹肉香與豐富辛香料交織的豐厚香氣,"24.9573608766287, 121.23997219148417",
343,董記小館,中式,4.2,"11:30-14:00, 17:00-20:30(週三公休)",03-436-4616,實踐路236號,"https://www.google.com/maps/place/%E8%91%A3%E8%A8%98%E5%B0%8F%E9%A4%A8/@24.9575414,121.2392934,17z/data=!3m2!4b1!5s0x3468223e2240e697:0x1e9eb64f0d75692c!4m6!3m5!1s0x3468221516dce53d:0xc5bee9e776eadf9b!8m2!3d24.9575414!4d121.2392934!16s%2Fg%2F1w96dhg7?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,炒飯、燴飯、炒菜、午餐、晚餐,主打真材實料、出餐迅速的人氣中式小館專賣店。熱騰騰的現炒料理與Q彈米飯質地扎實，伴隨特製醬汁與爆香配菜交織的豐厚香氣，層次感十足，非常開胃。,"24.95768244119944, 121.23971182457737",
344,清心福全-中壢實踐店,手搖飲、中式,2.1,10:00-23:45,03-465-5911,實踐路112號,"https://www.google.com/maps/place/%E6%B8%85%E5%BF%83%E7%A6%8F%E5%85%A8-%E4%B8%AD%E5%A3%A2%E5%AF%A6%E8%B8%90%E5%BA%97/@24.9560326,121.2401504,17z/data=!3m1!4b1!4m6!3m5!1s0x3468232389f87de3:0xa65a3a9f309d0a73!8m2!3d24.9560326!4d121.2401504!16s%2Fg%2F12cpjb086?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,手搖飲、飲料,這家高人氣手搖飲主打嚴選優質茶葉與經典現調的各式冷飲。招牌純茶質地滑順、入口回甘，特調系列則完美融合了水果清甜與自然茶香，微甜不澀且層次感十足。網評大讚其茶湯新鮮不苦、出餐迅速,"24.95634873047582, 121.24110526634333",
345,LickBear髒熱狗,美式,4.9,11:30-21:30(週日公休),03-283-0087,實踐路240號1樓,"https://www.google.com/maps/place/LickBear%E9%AB%92%E7%86%B1%E7%8B%97/@24.957578,121.2393619,17z/data=!3m2!4b1!5s0x3468223e2240e697:0x1e9eb64f0d75692c!4m6!3m5!1s0x3468199e655bff91:0x9cbcb17e5f767b50!8m2!3d24.957578!4d121.2393619!16s%2Fg%2F11xz3rf1t4?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,熱狗堡、小吃、午餐、晚餐,以美式街頭風格打造特色熱狗堡，主打滿滿醬料與豐富配料的「髒熱狗」系列，視覺與口感都相當有記憶點。熱狗外皮微脆、肉香濃郁，搭配起司與醬料層次豐富，吃起來鹹香過癮。網路上也因高顏值餐點與扎實份量，受到不少學生與美食愛好者推薦。,"24.957787129934335, 121.2397159515655",
346,仁心素菜,素食,4.4,"11:30-14:00, 17:00-20:00(週三公休)",03-416-3528,實踐路214號,"https://www.google.com/maps/place/%E4%BB%81%E5%BF%83%E7%B4%A0%E8%8F%9C/@24.9571335,121.2392704,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e2579e6fb:0x7eb83bc98ae7d892!8m2!3d24.9571335!4d121.2392704!16s%2Fg%2F11clw4_6y5?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,素食、麵、飯、鍋物、午餐、晚餐,主打平價又豐富的傳統素食料理，以滷味、便當與家常菜色受到不少在地人喜愛。餐點口味清爽不油膩，滷製香氣濃厚、配料種類多，兼具飽足感與健康取向。網路上也常被推薦為中壢高CP值素食店之一，適合想吃得簡單又有味道的族群。,"24.957323176686785, 121.2392704",
347,薯食好吃（馬鈴薯煎餅）,小吃,4.4,14:30-23:30,0972-274-220,實踐路114號,"https://www.google.com/maps/place/%E8%96%AF%E9%A3%9F%E5%A5%BD%E5%90%83%EF%BC%88%E9%A6%AC%E9%88%B4%E8%96%AF%E7%85%8E%E9%A4%85%EF%BC%89/@24.9561099,121.2404369,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230040cc9d2f:0xcc5e830c81a13aad!8m2!3d24.9561099!4d121.2404369!16s%2Fg%2F11ldx9c8vv?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,馬鈴薯煎餅、小吃、中原夜市,主打現點現煎的馬鈴薯煎餅，以酥脆外皮與綿密薯香吸引不少顧客。餐點口感外酥內軟，搭配起司、玉米或各式醬料後層次更加豐富，帶有濃厚韓式街頭小吃風格。網路上也常被推薦為高CP值點心，不少人稱讚份量實在又相當涮嘴。,"24.956299578263792, 121.24097334176592",
348,全素QQ地瓜球,小吃,4.1,16:00-21:00,無,實踐路上(位於中原夜市內),"https://www.google.com/maps/place/%E5%85%A8%E7%B4%A0QQ%E5%9C%B0%E7%93%9C%E7%90%83/@24.955969,121.240301,17z/data=!3m1!4b1!4m6!3m5!1s0x3468221578596697:0x91aa5b09df4d066f!8m2!3d24.955969!4d121.240301!16s%2Fg%2F12hpvt3j3?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,地瓜球、小吃、中原夜市,全素QQ地瓜球主打全素製作的地瓜球，以天然地瓜香氣與現炸口感受到不少人喜愛。外皮酥脆、內層Q彈有嚼勁，咬下後帶有淡淡甜味與綿密口感，越吃越涮嘴。網路上也常被推薦為人氣夜市小吃之一，不少顧客稱讚口感穩定又適合素食族群享用。,"24.95611004300083, 121.24088035710716",
349,元氣眼鏡前的中原夜市“原創“手工烤布蕾&其他跟我沒關係Please,甜品,4.8,18:40-賣完,0922-010-545,實踐路114號,"https://www.google.com/maps/place/%E5%85%83%E6%B0%A3%E7%9C%BC%E9%8F%A1%E5%89%8D%E7%9A%84%E4%B8%AD%E5%8E%9F%E5%A4%9C%E5%B8%82%E2%80%9C%E5%8E%9F%E5%89%B5%E2%80%9C%E6%89%8B%E5%B7%A5%E7%83%A4%E5%B8%83%E8%95%BE%26%E5%85%B6%E4%BB%96%E8%B7%9F%E6%88%91%E6%B2%92%E9%97%9C%E4%BF%82Please/@24.9561099,121.2404369,17z/data=!3m1!4b1!4m6!3m5!1s0x346822157a414349:0x28eb583f18e45ac1!8m2!3d24.9561099!4d121.2404369!16s%2Fg%2F11b636d7_5?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,烤布蕾、小吃、甜點、中原夜市,主打現烤手工布蕾，以炙燒焦糖香氣與滑順口感成為中原夜市人氣甜點之一。表層焦糖微脆、內餡濃郁綿密，帶有淡淡奶香與細緻甜味，口感層次豐富。,,
